<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INC,D,20250821,000000,1.915,1.915,1.915,1.915,5,0
ING,D,20250821,000000,346,346,342,342,322,0
INK,D,20250821,000000,41.7,41.7,41.3,41.6,681,0
INL,D,20250821,000000,7.72,7.72,7.72,7.72,5,0
INP,D,20250821,000000,7.1,7.1,7.1,7.1,2,0
IPO,D,20250821,000000,0.53,0.53,0.52,0.53,1942,0
IZO,D,20250821,000000,3.79,3.79,3.79,3.79,2,0
IZS,D,20250821,000000,2.87,2.9,2.86,2.9,35424,0
JRH,D,20250821,000000,4.7,4.7,4.7,4.7,211,0
JSW,D,20250821,000000,23,23.18,22.86,23,9648,0
JWW,D,20250821,000000,3.2,3.22,3.2,3.22,1210,0
KER,D,20250821,000000,22.4,22.4,21.2,21.45,5091,0
KGH,D,20250821,000000,131.5,132.1,129.75,129.9,60558,0
KGL,D,20250821,000000,13.8,13.8,13.8,13.8,1,0
KGN,D,20250821,000000,57.8,57.8,57.8,57.8,3,0
KPL,D,20250821,000000,17.8,17.8,17.5,17.5,2203,0
KRK,D,20250821,000000,850,850,850,850,4,0
KRU,D,20250821,000000,421,421,416,416.8,382,0
KSG,D,20250821,000000,4.25,4.27,4.12,4.13,9772,0
KTY,D,20250821,000000,902,906,898,899.5,595,0
LBT,D,20250821,000000,1.55,1.6,1.55,1.6,9002,0
LBW,D,20250821,000000,8.605,8.78,8.605,8.73,11157,0
LEN,D,20250821,000000,2.83,2.83,2.83,2.83,360,0
LES,D,20250821,000000,0.249,0.254,0.249,0.254,10002,0
LKD,D,20250821,000000,22.5,22.5,22.5,22.5,21,0
LPP,D,20250821,000000,16785,16895,16700,16735,107,0
LRQ,D,20250821,000000,1.71,1.71,1.71,1.71,2,0
LSI,D,20250821,000000,32,32,31,32,355,0
LWB,D,20250821,000000,23.1,23.3,23.1,23.3,680,0
MAB,D,20250821,000000,9.52,9.52,9.5,9.5,749,0
MBK,D,20250821,000000,980,983.4,970,978.6,5917,0
MBR,D,20250821,000000,294,294,289,290,592,0
MCI,D,20250821,000000,29.6,29.6,29.1,29.4,269,0
MCR,D,20250821,000000,25.3,25.3,25.3,25.3,2,0
MDG,D,20250821,000000,36.9,36.9,36.8,36.9,475,0
MDI,D,20250821,000000,1.075,1.075,1.075,1.075,2,0
MEX,D,20250821,000000,3.6,3.6,3.6,3.6,2,0
MFO,D,20250821,000000,36.3,36.4,35.4,36.4,1055,0
MGT,D,20250821,000000,68,68,68,68,1,0
MIL,D,20250821,000000,15.68,15.78,15.63,15.64,21178,0
MLG,D,20250821,000000,80,80,80,80,3,0
MLK,D,20250821,000000,2.25,2.25,2.2,2.23,11955,0
MLS,D,20250821,000000,15.26,15.26,15.1,15.1,87,0
MNC,D,20250821,000000,32.3,32.3,32.1,32.1,35,0
MOC,D,20250821,000000,7.85,8,7.85,7.95,2998,0
MOL,D,20250821,000000,32.2,32.2,32.2,32.2,1000,0
MOV,D,20250821,000000,13.44,13.44,13.42,13.42,6,0
MRB,D,20250821,000000,15.08,15.14,15.05,15.05,1871,0
MRC,D,20250821,000000,45.2,45.5,44.85,45,472,0
MSP,D,20250821,000000,14.75,14.75,14.75,14.75,2,0
MSW,D,20250821,000000,7.34,7.34,7.34,7.34,2,0
MSZ,D,20250821,000000,6.36,6.36,6.32,6.36,386,0
MUR,D,20250821,000000,39.5,39.5,39.35,39.35,593,0
MVP,D,20250821,000000,8.2,8.2,8.18,8.2,2840,0
MXC,D,20250821,000000,6.08,6.08,6.08,6.08,2,0
NCL,D,20250821,000000,101,101.5,100,101.5,166,0
NEU,D,20250821,000000,660,660,657,658,34,0
